"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Res_Turb[0]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          42, 5.18037551e-03, 1.42194382e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.72016903e-06, 1.42194382e-03, 5.18037551e-03, 0.00000000e+00, 3.64316468e+00, 0.00000000e+00, 0.00000000e+00, -1.14181902e+04, 7.05979173e+06, 0.00000000e+00, -5.01007492e+00, -3.63840976e+00, -4.46126211e+00, 1.11313201e+00, 0.00000000e+00, -13.6150208650, 10.0000000000, 3272.7883292189, 0.0405467799
          43, 3.36581654e-03, 1.48112135e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.89490641e-06, 1.48112135e-03, 3.36581654e-03, 0.00000000e+00, 2.27247858e+00, 0.00000000e+00, 0.00000000e+00, -1.15897949e+04, 7.16169120e+06, 0.00000000e+00, -4.99429374e+00, -3.66639421e+00, -4.48088080e+00, 1.13241709e+00, 0.00000000e+00, -13.6450451975, 10.0000000000, 3215.6982427553, 0.0415268672
          44, 9.90523376e-04, 1.63573971e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.06094126e-07, 1.63573971e-03, 9.90523376e-04, 0.00000000e+00, 6.05550730e-01, 0.00000000e+00, 0.00000000e+00, -1.09374493e+04, 6.77626894e+06, 0.00000000e+00, -4.96377640e+00, -3.69770351e+00, -4.50052506e+00, 1.15238169e+00, 0.00000000e+00, -13.6692980015, 10.0000000000, 3076.0274977515, 0.0424281322
          45, -1.92281569e-03, 1.89513487e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.42450464e-06, 1.89513487e-03, -1.92281569e-03, 0.00000000e+00, -1.01460625e+00, 0.00000000e+00, 0.00000000e+00, -1.04994391e+04, 6.51077087e+06, 0.00000000e+00, -4.92107462e+00, -3.73092000e+00, -4.52366805e+00, 1.19429798e+00, 0.00000000e+00, -13.6825260418, 10.0000000000, 2937.8228740883, 0.0433190933
          46, -5.32903101e-03, 2.22119981e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.85233833e-06, 2.22119981e-03, -5.32903101e-03, 0.00000000e+00, -2.39916778e+00, 0.00000000e+00, 0.00000000e+00, -1.05423231e+04, 6.52600396e+06, 0.00000000e+00, -4.86851378e+00, -3.76776380e+00, -4.54872983e+00, 1.24866059e+00, 0.00000000e+00, -13.6852784147, 10.0000000000, 2667.5300519518, 0.0442183424
          47, -9.14363180e-03, 2.57775163e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -9.69210346e-06, 2.57775163e-03, -9.14363180e-03, 0.00000000e+00, -3.54713452e+00, 0.00000000e+00, 0.00000000e+00, -1.06084997e+04, 6.55939763e+06, 0.00000000e+00, -4.81803312e+00, -3.81593471e+00, -4.57714217e+00, 1.29837827e+00, 0.00000000e+00, -13.6965365298, 10.0000000000, 2353.6761823006, 0.0453060866
          48, -1.31813667e-02, 2.92448322e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.37603767e-05, 2.92448322e-03, -1.31813667e-02, 0.00000000e+00, -4.50724647e+00, 0.00000000e+00, 0.00000000e+00, -1.01166087e+04, 6.26520994e+06, 0.00000000e+00, -4.77610896e+00, -3.87487931e+00, -4.60885012e+00, 1.33693025e+00, 0.00000000e+00, -13.7195768861, 10.0000000000, 2099.0801870261, 0.0462039778
          49, -1.70101505e-02, 3.35378920e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.76130474e-05, 3.35378920e-03, -1.70101505e-02, 0.00000000e+00, -5.07192001e+00, 0.00000000e+00, 0.00000000e+00, -9.82133561e+03, 6.08388311e+06, 0.00000000e+00, -4.76205667e+00, -3.95102597e+00, -4.64348673e+00, 1.35058893e+00, 0.00000000e+00, -13.7342440157, 10.0000000000, 1920.7774673990, 0.0470968436
          50, -2.11511677e-02, 3.78464367e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.17813840e-05, 3.78464367e-03, -2.11511677e-02, 0.00000000e+00, -5.58868140e+00, 0.00000000e+00, 0.00000000e+00, -9.97795904e+03, 6.16754913e+06, 0.00000000e+00, -4.76157815e+00, -4.03243008e+00, -4.66691248e+00, 1.35283218e+00, 0.00000000e+00, -13.7111773053, 10.0000000000, 1861.3085188132, 0.0479883188
          51, -2.53785263e-02, 3.99749806e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.60422476e-05, 3.99749806e-03, -2.53785263e-02, 0.00000000e+00, -6.34860252e+00, 0.00000000e+00, 0.00000000e+00, -1.00484369e+04, 6.20681128e+06, 0.00000000e+00, -4.72977336e+00, -4.09088413e+00, -4.64424020e+00, 1.38502326e+00, 0.00000000e+00, -13.6973001022, 10.0000000000, 1851.7191578197, 0.0488838739
          52, -2.92934602e-02, 4.08475544e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.99834900e-05, 4.08475544e-03, -2.92934602e-02, 0.00000000e+00, -7.17141102e+00, 0.00000000e+00, 0.00000000e+00, -9.51504845e+03, 5.89134854e+06, 0.00000000e+00, -4.74624583e+00, -4.10795245e+00, -4.64882832e+00, 1.36837499e+00, 0.00000000e+00, -13.6499969225, 10.0000000000, 1719.4281762453, 0.0497852505
          53, -3.32132748e-02, 4.28567385e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.39274769e-05, 4.28567385e-03, -3.32132748e-02, 0.00000000e+00, -7.74983724e+00, 0.00000000e+00, 0.00000000e+00, -9.28607797e+03, 5.75013725e+06, 0.00000000e+00, -4.75563447e+00, -4.06964627e+00, -4.64620858e+00, 1.35989519e+00, 0.00000000e+00, -13.6688472504, 10.0000000000, 1772.9751735271, 0.0506788414
          54, -3.66169609e-02, 4.52220537e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.73516645e-05, 4.52220537e-03, -3.66169609e-02, 0.00000000e+00, -8.09714684e+00, 0.00000000e+00, 0.00000000e+00, -9.46952670e+03, 5.85291364e+06, 0.00000000e+00, -4.76441032e+00, -3.99788207e+00, -4.64294373e+00, 1.35344887e+00, 0.00000000e+00, -13.6531414356, 10.0000000000, 1800.8871390151, 0.0515701372
