"Iteration","HeatFlux_Total","HeatFlux_Maximum","Temperature_Total","Res_Heat","Linear_Solver_Iterations","CFL_Number","Time(min)"
         150, -4.54969497e+03, 0.00000000e+00, 0.00000000e+00, -6.56451066e+00, 0.0000000000, 5578.4748786251, 0.1371863744
         151, -4.37197311e+03, 0.00000000e+00, 0.00000000e+00, -6.70939281e+00, 0.0000000000, 5788.6622263350, 0.1380650542
         152, -4.13230746e+03, 0.00000000e+00, 0.00000000e+00, -6.72937623e+00, 0.0000000000, 7559.3408171859, 0.1389351750
         153, -4.15697806e+03, 0.00000000e+00, 0.00000000e+00, -6.59992999e+00, 0.0000000000, 7842.7914420034, 0.1398107760
         154, -4.46245035e+03, 0.00000000e+00, 0.00000000e+00, -6.60508460e+00, 0.0000000000, 5821.3595408292, 0.1406908645
         155, -4.34592596e+03, 0.00000000e+00, 0.00000000e+00, -6.75921522e+00, 0.0000000000, 5876.8974255652, 0.1415664746
         156, -4.08158832e+03, 0.00000000e+00, 0.00000000e+00, -6.76520220e+00, 0.0000000000, 7806.4324429610, 0.1424403069
         157, -4.14559099e+03, 0.00000000e+00, 0.00000000e+00, -6.60697360e+00, 0.0000000000, 7893.0016807244, 0.1433120448
         158, -4.47663015e+03, 0.00000000e+00, 0.00000000e+00, -6.63094044e+00, 0.0000000000, 5482.9412318931, 0.1441908166
         159, -4.31388282e+03, 0.00000000e+00, 0.00000000e+00, -6.77701929e+00, 0.0000000000, 5730.4280602265, 0.1450678373
         160, -4.11187005e+03, 0.00000000e+00, 0.00000000e+00, -6.80406205e+00, 0.0000000000, 7499.8079484267, 0.1459431123
         161, -4.14451759e+03, 0.00000000e+00, 0.00000000e+00, -6.66853844e+00, 0.0000000000, 7882.8698481871, 0.1468240541
         162, -4.42708722e+03, 0.00000000e+00, 0.00000000e+00, -6.67399230e+00, 0.0000000000, 5769.7997084796, 0.1476999059
         163, -4.30350024e+03, 0.00000000e+00, 0.00000000e+00, -6.83505988e+00, 0.0000000000, 5828.0575351092, 0.1485741626
         164, -4.08275779e+03, 0.00000000e+00, 0.00000000e+00, -6.84992232e+00, 0.0000000000, 7841.1162510827, 0.1494522850
         165, -4.12328641e+03, 0.00000000e+00, 0.00000000e+00, -6.68507629e+00, 0.0000000000, 8058.7529768403, 0.1503306766
         166, -4.41635469e+03, 0.00000000e+00, 0.00000000e+00, -6.69799993e+00, 0.0000000000, 5513.4293373846, 0.1512019298
         167, -4.28387220e+03, 0.00000000e+00, 0.00000000e+00, -6.85800797e+00, 0.0000000000, 5646.2580480496, 0.1520758590
         168, -4.09217071e+03, 0.00000000e+00, 0.00000000e+00, -6.88681873e+00, 0.0000000000, 7581.7098149450, 0.1529478449
         169, -4.10476438e+03, 0.00000000e+00, 0.00000000e+00, -6.74428552e+00, 0.0000000000, 7994.9502886533, 0.1538227451
         170, -4.36140478e+03, 0.00000000e+00, 0.00000000e+00, -6.73301322e+00, 0.0000000000, 5758.1444761556, 0.1546963553
         171, -4.26204928e+03, 0.00000000e+00, 0.00000000e+00, -6.89912086e+00, 0.0000000000, 5610.6122172242, 0.1555662197
         172, -4.06966608e+03, 0.00000000e+00, 0.00000000e+00, -6.91855259e+00, 0.0000000000, 7618.9718240729, 0.1564387805
         173, -4.09900990e+03, 0.00000000e+00, 0.00000000e+00, -6.77063416e+00, 0.0000000000, 7896.6293007411, 0.1573142908
         174, -4.32309608e+03, 0.00000000e+00, 0.00000000e+00, -6.78301928e+00, 0.0000000000, 5617.2444841692, 0.1581894230
         175, -4.21777228e+03, 0.00000000e+00, 0.00000000e+00, -6.92660743e+00, 0.0000000000, 5746.8705567180, 0.1590655438
         176, -4.07442421e+03, 0.00000000e+00, 0.00000000e+00, -6.94849276e+00, 0.0000000000, 7486.8983691546, 0.1599421641
